Survey,MP_users,TFR_all,TFR_all_LB,TFR_all_UB,TFR_sel,TFR_sel_LB,TFR_sel_UB,TFR_post,TFR_post_LB,TFR_post_UB
AM72,0.967414450153415,1.74548397565107,1.54476469880452,1.92120221297466,1.71343262634165,1.52032052020176,1.88763094644868,1.72385793375235,1.53137459819287,1.89118109280246
AO81,0.459664397182783,4.77478699738566,4.54658002430844,5.03743166729857,3.29584356638774,3.0221684554474,3.64547020731312,4.20309864554502,3.81684674796739,4.642845986287
BD81,0.693774402993798,2.79114463192762,2.68917585550798,2.90486432122721,2.66304872146588,2.54026160641482,2.77745028153741,2.7058062860921,2.56795730263463,2.83033463008563
BF81,0.75216316325502,4.44456333792454,4.23536166145878,4.62431262284534,4.16545524485019,3.94213220750593,4.34753824066164,4.29066766334436,4.0732082363745,4.47638837184975
BJ71,0.511137291943375,5.66161742394018,5.48302187092162,5.85029623334654,4.86181006588115,4.64751017297457,5.11550980039294,5.10831484797213,4.87614261959731,5.39573133297516
BU71,0.23557813374126,5.52515104343913,5.34916539400005,5.73600195866203,4.40740888648007,4.0382609049888,4.78041891712442,5.06431832483138,4.65583726941725,5.54037273526309
CD81,0.334506484338169,5.47149702376173,5.20526739674355,5.69301925170596,3.90023760066348,3.55784677458259,4.34843423185937,4.65426714017046,4.11150005379065,5.27035463538436
CI81,0.782324112450799,4.2941703513634,4.03724414596411,4.47193061387128,3.92612468381562,3.69753724999207,4.14822286910077,4.09341097584067,3.85104576884225,4.32515506994208
CM71,0.631063111124393,4.77040451569401,4.51970397238915,5.04558979887045,3.99537861053856,3.76686169850846,4.27771312061949,4.65576706770473,4.36611076792357,4.97699214126006
ET71,0.27309174017854,4.60436409088395,4.30256637612146,5.01297781921823,2.74830981900349,2.40384267919156,3.22885264905005,4.07220726010094,3.35937265314326,5.17936598588345
GA71,0.888661776941729,3.93285688839052,3.64863851966301,4.27144965794479,3.82745157580906,3.54453051872146,4.18084873019913,4.20868896655525,3.85540559780491,4.63405362870691
GH8C,0.796342651450695,3.9084063074407,3.71651808074485,4.12163183831553,3.5994745053552,3.36718840031179,3.82765822230975,3.77045700730835,3.54198924813241,4.00791005840841
GM81,0.764033041505769,4.4555764185554,4.16060313135558,4.70167678516189,4.0760128802659,3.70055315409649,4.34804060558139,4.23924619799373,3.87093446272716,4.52742753529296
GN71,0.689303296661455,4.80241436348862,4.54479263363256,5.07417716848555,4.54947969336408,4.30768201163583,4.86331726826681,4.72299268925479,4.47188970821,5.05031381181516
HT71,0.554621011796236,3.00804206004507,2.80788365837097,3.22507431120227,2.21530088913024,2.00997678295336,2.43460851517202,2.9023174613131,2.61576423654281,3.23047860325649
IA7E,0.539457211583718,2.02083790887051,1.96409606296089,2.07304888666455,1.89654157945751,1.82214851033524,1.96253676697963,1.93475898094226,1.86216623351391,2.00922599734473
ID71,0.784568268581828,2.40816828169584,2.33659242104331,2.49275816647969,2.29488029806363,2.2074601847391,2.38392378831159,2.35497358414936,2.26466454052971,2.44760514183912
JO81,0.952370333450782,4.66699053792868,4.30594555195707,5.09889356929596,4.56794039695577,4.13487735736437,5.00237619942278,4.59000307660258,4.16441784646319,5.01638066226331
KE8C,0.775106287082429,3.41564530750019,3.28714373118885,3.52995397708287,3.22582389401584,3.09088322084995,3.35879292730945,3.356903649909,3.22213935617461,3.49940939023067
KH82,0.848446242174625,2.74689158217332,2.60764917757928,2.91206336947175,2.59503649997524,2.45977835825305,2.74749305753588,2.6552124094665,2.51332935354569,2.80131412318793
LB7A,0.46734420168552,4.15695820854892,3.87748710315002,4.50146992345191,2.89450737169697,2.55678857218892,3.25544783521433,3.41194926853662,2.96688374365015,3.79456666067571
LS81,0.858352870241301,2.51944291331359,2.30902846130883,2.79702719720118,2.36164086246521,2.12712523420817,2.65312271481511,2.4275502813764,2.18849562474903,2.70943468294269
MD81,0.345914670332514,4.23773456828921,4.06545853772942,4.42940545193578,2.91800267616419,2.69748761681023,3.16122514708551,3.43986370408516,3.12646090222768,3.78112115569076
ML8A,0.647605589248411,6.0423027294802,5.83575943878329,6.28518960197994,5.48112565257226,5.23995048396953,5.73014019285615,6.00785961383263,5.68422354752823,6.31926495410414
MR71,0.76708866119064,5.37311932019474,5.07630537594621,5.74524731502511,5.08755501726464,4.73792119717527,5.59351373231073,5.27254706797794,4.95971247879593,5.75895099512345
MV71,0.954525748875913,2.27643822205592,2.08814368538013,2.48296046280417,2.26693710371856,2.0725994895269,2.4791742711973,2.28625271878997,2.0943689993853,2.49347988930317
MW81,0.420613002950663,3.72316540149341,3.54787810487676,3.88440277721135,2.98517253228462,2.77647901399642,3.19190610563618,3.212807686604,2.99577526347644,3.4531315833126
MZ81,0.446710840106262,4.89080123986923,4.63044049493891,5.1520339036635,3.59336171271016,3.31180542256324,3.86076801881461,4.17975857800638,3.75922287603857,4.6038355407674
NG8B,0.619108458358546,4.76940577497656,4.64503461251753,4.92743499726773,4.05535662595748,3.93114368356816,4.21026721794269,4.47460735682266,4.31792560721318,4.66536213634266
NP82,0.796379569913528,2.10835998905707,1.95456863976231,2.24519534608769,1.99473196109792,1.85165614560568,2.13574527408624,2.09160757338346,1.93590860394846,2.24258430214033
PG71,0.342639592934299,4.29078348713943,3.89288890857815,4.55239438168027,3.24964343646491,2.7823678597093,3.6293336305509,3.51085496495008,3.03831456657142,4.00643955466814
PH82,0.908660776820889,1.94565023611208,1.80572276949633,2.0533716331858,1.82187026866722,1.68297724314648,1.93939436362908,1.89049829300903,1.74284779335539,2.01042747010139
PK71,0.391844272852177,4.94765930441388,4.69730522160542,5.2018976373691,4.32427510576543,3.91241618769657,4.72840600988065,4.66611270036803,4.15024337358726,5.17792292417381
RW81,0.479417285586701,4.1518565008464,3.98628664013297,4.32674359877129,3.33951857853301,3.13706641467089,3.56639997058267,3.63811648288201,3.3765817665621,3.85295269578607
SL7A,0.426263574966227,4.23626649682627,4.05330883221794,4.4228649603466,3.03910058880502,2.80546088291534,3.26145029260761,3.54707381161198,3.19957488181675,3.87197687270688
SN8S,0.750424569702134,3.99856810337849,3.8039951222594,4.20084467951422,3.66159363150939,3.42592000183781,3.88519372557269,3.74982397756867,3.52109981718041,3.96250725444064
TJ81,0.649264667256585,3.43465341670864,3.2251694356429,3.65247539546186,3.21319173874875,2.9639908662615,3.44547360464779,3.29907008501287,3.03018744714358,3.54224751754508
TL71,0.65581656957578,4.22821834738511,4.01128207928605,4.4806233153569,3.88010034375453,3.62247466307546,4.15349053437074,4.01395089230796,3.75419762190342,4.27862968652509
TZ82,0.593991150843633,4.80224374370048,4.58317697549917,5.0161950641114,4.09858087437988,3.86188531283527,4.36073051772819,4.45508021302558,4.20198504086529,4.75649699535844
UG7B,0.45545476628708,5.35191146783822,5.157694404618,5.52538865451973,4.15436699198254,3.97021413549697,4.40171621099426,4.51724592302532,4.29338762535172,4.79431353520094
ZA71,0.91204631259748,2.63476496448948,2.43149594550975,2.84342044393045,2.53642518003325,2.33778938935312,2.76429777829684,2.55436727713494,2.35725749802889,2.7695150835767
ZM81,0.597417717252517,4.0542765771156,3.86106124363227,4.2501702199269,3.41707324839469,3.18792706739469,3.62338268966726,3.73084970215096,3.46069620620149,3.97927991866139
ZW72,0.694931406197552,4.00075859380173,3.78510616011459,4.21173335889437,3.58202731580853,3.35253370547466,3.8377695885831,3.78786631003476,3.5509165357158,4.07549451652435
